flow,head,power,rpm,efficiency
0.9874791307041169,0.3198572528101772,0.9871208769601337,0.6731085526081871,1.4522493891055834
0.9111395296570636,0.3629427947069412,0.9856461682151108,0.6848684210526316,1.5227529186546818
0.8351652593269698,0.4091914752875285,0.9863343656294549,0.6935444079532164,1.5725419639449127
0.767437193806824,0.45757917417451416,0.9865801504202919,0.7123766446783626,1.6154894671771278
0.7051817706228304,0.5014396911686497,0.9880057022071475,0.7245888157192982,1.6243804120378962
0.6444785603396501,0.538360995327234,0.9880057022071475,0.7407894736842106,1.593859448408656
0.5978487863701779,0.5709327288024387,0.9878582313326452,0.7502467104561403,1.568227550790089
0.5517084021107261,0.6062375805599771,0.9883989578724868,0.765666118362573,1.5358456940982257
0.5177478724649943,0.6368954376562556,0.9891363122449982,0.7835526315789474,1.5130654895324012
0.4798389381400075,0.6656481901370156,0.9899228235756771,0.7953536183391814,1.464422240681527
0.44077074275807104,0.7015867848012404,0.9900702944501794,0.8134457236959064,1.4176059901249933
0.3953496881881674,0.742514404901471,0.9917907879860394,0.8332648026198831,1.3433637488451367
0.3501497206725013,0.7904165968835488,0.9939536941454062,0.8605674342923976,1.2637788807372283
0.30824103470157854,0.8390788723646545,0.9965098559701125,0.8897203946666666,1.1779830783553409
0.2639772345255587,0.8932015365681557,0.9976896229661308,0.9164062499181287,1.072624942740685
0.22128488760798207,0.9479455000139736,0.9990168608366513,0.9548519736140351,0.9529930142265265
0.19270245105630746,0.9647133037527712,0.9626407117927543,0.9692023026900584,0.87649348450938
0.14710953169677762,0.9773577667063164,0.892886988153173,0.9791529605614034,0.7308450299516589
0.12139756764107078,0.9842479528642153,0.8571007226072851,0.9861430920233919,0.6327178032447
0.07955120626418828,0.9966021996454711,0.8100575136410558,0.9926809210760233,0.44420164931029477
0.04747174618403509,0.9945515789548124,0.7544118369955267,0.9902960525847954,0.2840412627736269
0.0,0.9859234956714747,0.679545789706533,0.9894325657076024,0.0
0.9867319438096569,0.3204767161020133,0.9871208769601337,0.6747121710409356,1.4539609526558313
0.9164619083412969,0.36325579026482496,0.9864818365039572,0.6888980262923976,1.53167026651359
0.8367989191404493,0.41084145078438944,0.9873175047928033,0.700822368374269,1.5803960601776152
0.7673856107621353,0.4585469920705299,0.9868750921692965,0.7098273025497076,1.6183137462646695
0.7057506005824516,0.5027095569178308,0.9876124465418079,0.7266036184327486,1.6304566410111319
0.6423725084327064,0.54115204804696,0.9883989578724868,0.7350328946900585,1.5962517426258536
0.6007514835142006,0.574246551422015,0.9885464287469891,0.7561677630877193,1.5838847844959623
0.5541259589488674,0.6091842130834048,0.988300643956152,0.7673108552982455,1.5502276126420664
0.5151499520289488,0.6402854862198656,0.9887922135378263,0.7817023026900584,1.5140133129546496
0.4820974964399436,0.6692962237422533,0.9894804109521702,0.7951069078830411,1.4800400263894797
0.4415716373992891,0.7048164256913663,0.9899228235756771,0.8156661183625732,1.4269319437866248
0.39690402579105016,0.745853454840616,0.9919874158187092,0.8374177631812866,1.3544415170124269
